,property_type,region,area_m2,country,state,city,lat,lon,price_brl,has_city,has_geo,area_missing_flag,geo_resolution,price_per_m2_raw,area_m2_group_median_x,area_m2_imputed,area_imputed_flag,price_per_m2,area_m2_group_median_y,area_m2_group_median
58,apartment,Northeast,107.0,Brasil,Bahia,Salvador,-13.000443,-38.45739,951756.7999999999,1,1,0,2,8894.923364485981,103.0,107.0,0,8894.923364485981,103.0,103.0
59,apartment,Northeast,186.0,Brasil,Bahia,Salvador,,,2034107.2,1,0,0,2,10936.060215053763,103.0,186.0,0,10936.060215053763,103.0,103.0
60,apartment,Northeast,186.0,Brasil,Bahia,Salvador,-13.009664,-38.486431,2074829.9,1,1,0,2,11154.999462365591,103.0,186.0,0,11154.999462365591,103.0,103.0
61,apartment,Northeast,90.0,Brasil,Bahia,Salvador,-12.964468,-38.417938,885127.6,1,1,0,2,9834.75111111111,103.0,90.0,0,9834.75111111111,103.0,103.0
62,apartment,Northeast,55.0,Brasil,Bahia,Salvador,-12.971756,-38.438103,491480.95,1,1,0,2,8936.017272727273,103.0,55.0,0,8936.017272727273,103.0,103.0
63,apartment,Northeast,224.0,Brasil,Bahia,Salvador,,,1544654.5499999998,1,0,0,2,6895.779241071427,103.0,224.0,0,6895.779241071427,103.0,103.0
64,apartment,Northeast,225.0,Brasil,Bahia,Salvador,-13.002785,-38.519222,1950321.4000000001,1,1,0,2,8668.095111111112,103.0,225.0,0,8668.095111111112,103.0,103.0
65,apartment,Northeast,54.0,Brasil,Bahia,Salvador,-12.972996,-38.47842,397865.55,1,1,0,2,7367.8805555555555,103.0,54.0,0,7367.8805555555555,103.0,103.0
66,apartment,Northeast,225.0,Brasil,Bahia,Salvador,-13.000443,-38.45739,1272935.75,1,1,0,2,5657.492222222222,103.0,225.0,0,5657.492222222222,103.0,103.0
67,apartment,Northeast,75.0,Brasil,Bahia,Salvador,-12.964468,-38.417938,889655.45,1,1,0,2,11862.072666666667,103.0,75.0,0,11862.072666666667,103.0,103.0
68,apartment,Northeast,75.0,Brasil,Bahia,Salvador,,,531911.9,1,0,0,2,7092.158666666667,103.0,75.0,0,7092.158666666667,103.0,103.0
69,apartment,Northeast,75.0,Brasil,Bahia,Salvador,-12.973443,-38.431145,538567.95,1,1,0,2,7180.905999999999,103.0,75.0,0,7180.905999999999,103.0,103.0
70,apartment,Northeast,150.0,Brasil,Bahia,Salvador,,,1175731.75,1,0,0,2,7838.211666666667,103.0,150.0,0,7838.211666666667,103.0,103.0
71,apartment,Northeast,243.0,Brasil,Bahia,Salvador,-12.941992,-38.403465,2352427.75,1,1,0,2,9680.772633744857,103.0,243.0,0,9680.772633744857,103.0,103.0
72,house,Northeast,99.0,Brasil,Bahia,Lençóis,-12.385784,-41.320999,436871.95,1,1,0,2,4412.84797979798,170.0,99.0,0,4412.84797979798,170.0,170.0
73,apartment,Northeast,68.0,Brasil,Bahia,Salvador,-12.985207,-38.456074,686513.1,1,1,0,2,10095.780882352941,103.0,68.0,0,10095.780882352941,103.0,103.0
74,apartment,Northeast,66.0,Brasil,Bahia,Salvador,-12.973443,-38.431145,612182.4500000001,1,1,0,2,9275.491666666669,103.0,66.0,0,9275.491666666669,103.0,103.0
75,apartment,Northeast,63.0,Brasil,Bahia,Salvador,-12.973443,-38.431145,605635.6,1,1,0,2,9613.263492063492,103.0,63.0,0,9613.263492063492,103.0,103.0
76,apartment,Northeast,90.0,Brasil,Bahia,Salvador,-12.985207,-38.456074,1024631.75,1,1,0,2,11384.797222222222,103.0,90.0,0,11384.797222222222,103.0,103.0
77,apartment,Northeast,76.0,Brasil,Bahia,Salvador,-12.941992,-38.403465,702115.7000000001,1,1,0,2,9238.36447368421,103.0,76.0,0,9238.36447368421,103.0,103.0
78,apartment,Northeast,83.0,Brasil,Bahia,Salvador,-12.937969,-38.381538,766761.7999999999,1,1,0,2,9238.093975903614,103.0,83.0,0,9238.093975903614,103.0,103.0
79,apartment,Northeast,76.0,Brasil,Bahia,Salvador,-12.974552,-38.496819,499282.25,1,1,0,2,6569.503289473684,103.0,76.0,0,6569.503289473684,103.0,103.0
80,house,Northeast,70.0,Brasil,Bahia,Lauro de Freitas,-12.852844,-38.32711,390064.25,1,1,0,2,5572.346428571429,170.0,70.0,0,5572.346428571429,170.0,170.0
81,apartment,Northeast,67.0,Brasil,Bahia,Salvador,-12.991246,-38.492966,688372.95,1,1,0,2,10274.223134328358,103.0,67.0,0,10274.223134328358,103.0,103.0
82,apartment,Northeast,56.0,Brasil,Bahia,Salvador,-12.957254,-38.429649,498419.45,1,1,0,2,8900.347321428571,103.0,56.0,0,8900.347321428571,103.0,103.0
83,house,Northeast,75.0,Brasil,Bahia,Camaçari,,,390064.25,1,0,0,2,5200.856666666667,170.0,75.0,0,5200.856666666667,170.0,170.0
84,apartment,Northeast,83.0,Brasil,Bahia,Salvador,-12.957254,-38.429649,1106968.1,1,1,0,2,13336.965060240966,103.0,83.0,0,13336.965060240966,103.0,103.0
85,apartment,Northeast,83.0,Brasil,Bahia,Salvador,-12.957254,-38.429649,1030103.6,1,1,0,2,12410.886746987951,103.0,83.0,0,12410.886746987951,103.0,103.0
86,apartment,Northeast,90.0,Brasil,Bahia,Salvador,-13.004092,-38.5047,1462410.25,1,1,0,2,16249.002777777778,103.0,90.0,0,16249.002777777778,103.0,103.0
87,apartment,Northeast,89.0,Brasil,Bahia,Salvador,-13.000443,-38.45739,747536.35,1,1,0,2,8399.284831460674,103.0,89.0,0,8399.284831460674,103.0,103.0
88,apartment,Northeast,70.0,Brasil,Bahia,Salvador,-12.98223,-38.43898,824433.6,1,1,0,2,11777.622857142856,103.0,70.0,0,11777.622857142856,103.0,103.0
89,apartment,Northeast,61.0,Brasil,Bahia,Salvador,-12.98223,-38.43898,608500.25,1,1,0,2,9975.41393442623,103.0,61.0,0,9975.41393442623,103.0,103.0
90,apartment,Northeast,122.0,Brasil,Bahia,Salvador,-13.009679,-38.486305,936154.25,1,1,0,2,7673.395491803279,103.0,122.0,0,7673.395491803279,103.0,103.0
91,apartment,Northeast,80.0,Brasil,Bahia,Salvador,-12.949672,-38.409973,662585.0,1,1,0,2,8282.3125,103.0,80.0,0,8282.3125,103.0,103.0
92,apartment,Northeast,240.0,Brasil,Bahia,Salvador,-13.004092,-38.5047,1716282.8,1,1,0,2,7151.178333333333,103.0,240.0,0,7151.178333333333,103.0,103.0
93,apartment,Northeast,106.0,Brasil,Bahia,Salvador,-13.000443,-38.45739,858141.4,1,1,0,2,8095.67358490566,103.0,106.0,0,8095.67358490566,103.0,103.0
94,apartment,Northeast,132.0,Brasil,Bahia,Salvador,-13.000164,-38.489021,1742409.2999999998,1,1,0,2,13200.070454545454,103.0,132.0,0,13200.070454545454,103.0,103.0
